BABA,Date,Close,Monthly Returns_BABA,,,BTC,Date,Close,Monthly Returns_BTC,,,VTI,Date,Close,Monthly Returns_VTI,,,HAL,Date,Close,Monthly Returns_HAL,,,GGE,Date,Close,Monthly Returns_GGE,,,AMZN,Date,Close,Monthly Returns_AMZN
,6/1/2019,10817.15527,-0.067626591,,,,6/1/2019,94.681503,-0.014179179,,,,6/1/2019,150.089996,0.014124932,,,,6/1/2019,22.74,0.011433597,,,,6/1/2019,1.82,-0.021978022,,,,6/1/2019,94.681503,-0.014179179
,7/1/2019,10085.62793,-0.045110118,,,,7/1/2019,93.338997,-0.048473823,,,,7/1/2019,152.210007,-0.020826581,,,,7/1/2019,23,-0.180869565,,,,7/1/2019,1.78,-0.168539326,,,,7/1/2019,93.338997,-0.048473823
,8/1/2019,9630.664063,-0.138806202,,,,8/1/2019,88.814499,-0.022732741,,,,8/1/2019,149.039993,0.01315088,,,,8/1/2019,18.84,0.000530786,,,,8/1/2019,1.48,-0.040540541,,,,8/1/2019,88.814499,-0.022732741
,9/1/2019,8293.868164,0.109203182,,,,9/1/2019,86.795502,0.023474696,,,,9/1/2019,151,0.021059556,,,,9/1/2019,18.85,0.021220159,,,,9/1/2019,1.42,-0.070422535,,,,9/1/2019,86.795502,0.023474696
,10/1/2019,9199.584961,-0.177177023,,,,10/1/2019,88.833,0.013587304,,,,10/1/2019,154.179993,0.037877878,,,,10/1/2019,19.25,0.09038961,,,,10/1/2019,1.32,0.242424242,,,,10/1/2019,88.833,0.013587304
,11/1/2019,7569.629883,-0.049676241,,,,11/1/2019,90.040001,0.02612169,,,,11/1/2019,160.020004,0.022497131,,,,11/1/2019,20.99,0.165793187,,,,11/1/2019,1.64,-0.12195122,,,,11/1/2019,90.040001,0.02612169
,12/1/2019,7193.599121,0.299840197,,,,12/1/2019,92.391998,0.087063806,,,,12/1/2019,163.619995,-0.000611117,,,,12/1/2019,24.469999,-0.108704541,,,,12/1/2019,1.44,-0.277777778,,,,12/1/2019,92.391998,0.087063806
,1/1/2020,9350.529297,-0.080318502,,,,1/1/2020,100.435997,-0.06221372,,,,1/1/2020,163.520004,-0.079990226,,,,1/1/2020,21.809999,-0.222375068,,,,1/1/2020,1.04,-0.173076923,,,,1/1/2020,100.435997,-0.06221372
,2/1/2020,8599.508789,-0.251277638,,,,2/1/2020,94.1875,0.035020571,,,,2/1/2020,150.440002,-0.143113518,,,,2/1/2020,16.959999,-0.596108467,,,,2/1/2020,0.86,-0.162790698,,,,2/1/2020,94.1875,0.035020571
,3/1/2020,6438.644531,0.344778962,,,,3/1/2020,97.486,0.268900119,,,,3/1/2020,128.910004,0.131331871,,,,3/1/2020,6.85,0.532846715,,,,3/1/2020,0.72,0.111111111,,,,3/1/2020,97.486,0.268900119
,4/1/2020,8658.553711,0.092683479,,,,4/1/2020,123.699997,-0.01278494,,,,4/1/2020,145.839996,0.053963324,,,,4/1/2020,10.5,0.119047619,,,,4/1/2020,0.8,0.125,,,,4/1/2020,123.699997,-0.01278494
,5/1/2020,9461.058594,-0.034146859,,,,5/1/2020,122.1185,0.129566724,,,,5/1/2020,153.710007,0.018346184,,,,5/1/2020,11.75,0.104680851,,,,5/1/2020,0.9,0.777777778,,,,5/1/2020,122.1185,0.129566724
,6/1/2020,9137.993164,0.239163413,,,,6/1/2020,137.940994,0.147113627,,,,6/1/2020,156.529999,0.057433112,,,,6/1/2020,12.98,0.104006163,,,,6/1/2020,1.6,0.125,,,,6/1/2020,137.940994,0.147113627
,7/1/2020,11323.4668,0.031558666,,,,7/1/2020,158.233994,0.09046103,,,,7/1/2020,165.520004,0.071048784,,,,7/1/2020,14.33,0.129099791,,,,7/1/2020,1.8,-0.377777778,,,,7/1/2020,158.233994,0.09046103
,8/1/2020,11680.82031,-0.076735116,,,,8/1/2020,172.548004,-0.087578591,,,,8/1/2020,177.279999,-0.039316342,,,,8/1/2020,16.18,-0.255253399,,,,8/1/2020,1.12,-0.035714286,,,,8/1/2020,172.548004,-0.087578591
,9/1/2020,10784.49121,0.277853062,,,,9/1/2020,157.436493,-0.035754087,,,,9/1/2020,170.309998,-0.019493823,,,,9/1/2020,12.05,0.000829876,,,,9/1/2020,1.08,0.25,,,,9/1/2020,157.436493,-0.035754087
,10/1/2020,13780.99512,0.424123278,,,,10/1/2020,151.807495,0.043439871,,,,10/1/2020,166.990005,0.118030968,,,,10/1/2020,12.06,0.375621891,,,,10/1/2020,1.35,0.081481481,,,,10/1/2020,151.807495,0.043439871
,11/1/2020,19625.83594,0.47773174,,,,11/1/2020,158.401993,0.028058384,,,,11/1/2020,186.699997,0.042528131,,,,11/1/2020,16.59,0.139240506,,,,11/1/2020,1.46,0.219178082,,,,11/1/2020,158.401993,0.028058384
,12/1/2020,29001.7207,0.141806713,,,,12/1/2020,162.846497,-0.015576012,,,,12/1/2020,194.639999,-0.003339468,,,,12/1/2020,18.9,-0.06719582,,,,12/1/2020,1.78,0.04494382,,,,12/1/2020,162.846497,-0.015576012
,1/1/2021,33114.35938,0.363087506,,,,1/1/2021,160.309998,-0.035328414,,,,1/1/2021,193.990005,0.031393355,,,,1/1/2021,17.629999,0.23823036,,,,1/1/2021,1.86,0.11827957,,,,1/1/2021,160.309998,-0.035328414
,2/1/2021,45137.76953,0.30531111,,,,2/1/2021,154.6465,0.000371783,,,,2/1/2021,200.080002,0.033036785,,,,2/1/2021,21.83,-0.016949198,,,,2/1/2021,2.08,-0.019230769,,,,2/1/2021,154.6465,0.000371783
,3/1/2021,58918.83203,-0.019835021,,,,3/1/2021,154.703995,0.120662734,,,,3/1/2021,206.690002,0.0503653,,,,3/1/2021,21.459999,-0.088536817,,,,3/1/2021,2.04,0.142156863,,,,3/1/2021,154.703995,0.120662734
,4/1/2021,57750.17578,-0.353545596,,,,4/1/2021,173.371002,-0.070470257,,,,4/1/2021,217.100006,0.004560064,,,,4/1/2021,19.559999,0.147750621,,,,4/1/2021,2.33,-0.180257511,,,,4/1/2021,173.371002,-0.070470257
,5/1/2021,37332.85547,-0.061394166,,,,5/1/2021,161.153503,0.067354993,,,,5/1/2021,218.089996,0.021688345,,,,5/1/2021,22.450001,0.029844097,,,,5/1/2021,1.91,0.109947644,,,,5/1/2021,161.153503,0.067354993
,6/1/2021,35040.83594,0.187933855,,,,6/1/2021,172.007996,-0.032722287,,,,6/1/2021,222.820007,0.017368256,,,,6/1/2021,23.120001,-0.105536371,,,,6/1/2021,2.12,-0.070754717,,,,6/1/2021,172.007996,-0.032722287
,7/1/2021,41626.19531,0.133101095,,,,7/1/2021,166.379501,0.043034172,,,,7/1/2021,226.690002,0.028585275,,,,7/1/2021,20.68,-0.03384913,,,,7/1/2021,1.97,-0.060913706,,,,7/1/2021,166.379501,0.043034172
,8/1/2021,47166.6875,-0.071571551,,,,8/1/2021,173.539505,-0.053518108,,,,8/1/2021,233.169998,-0.047647639,,,,8/1/2021,19.98,0.082082132,,,,8/1/2021,1.85,-0.183783784,,,,8/1/2021,173.539505,-0.053518108
,9/1/2021,43790.89453,0.400267286,,,,9/1/2021,164.251999,0.026602459,,,,9/1/2021,222.059998,0.066873846,,,,9/1/2021,21.620001,0.155874137,,,,9/1/2021,1.51,0.21192053,,,,9/1/2021,164.251999,0.026602459
,10/1/2021,61318.95703,-0.070345803,,,,10/1/2021,168.621506,0.039923698,,,,10/1/2021,236.910004,-0.014604732,,,,10/1/2021,24.99,-0.136054422,,,,10/1/2021,1.83,0.081967213,,,,10/1/2021,168.621506,0.039923698
,11/1/2021,57005.42578,-0.187683546,,,,11/1/2021,175.3535,-0.049251968,,,,11/1/2021,233.449997,0.034225766,,,,11/1/2021,21.59,0.059286753,,,,11/1/2021,1.98,0,,,,11/1/2021,175.3535,-0.049251968
,12/1/2021,46306.44531,-0.168946682,,,,12/1/2021,166.716995,-0.102829906,,,,12/1/2021,241.440002,-0.060594781,,,,12/1/2021,22.870001,0.344118874,,,,12/1/2021,1.98,-0.045454545,,,,12/1/2021,166.716995,-0.102829906
,1/1/2022,38483.125,0.12239415,,,,1/1/2022,149.573502,0.026672519,,,,1/1/2022,226.809998,-0.024866629,,,,1/1/2022,30.74,0.090761191,,,,1/1/2022,1.89,0.481481481,,,,1/1/2022,149.573502,0.026672519
,2/1/2022,43193.23438,0.054301129,,,,2/1/2022,153.563004,0.061437285,,,,2/1/2022,221.169998,0.029389158,,,,2/1/2022,33.529999,0.12943633,,,,2/1/2022,2.8,0.071428571,,,,2/1/2022,153.563004,0.061437285
,3/1/2022,45538.67578,-0.171805628,,,,3/1/2022,162.997498,-0.237525094,,,,3/1/2022,227.669998,-0.091316349,,,,3/1/2022,37.869999,-0.059413786,,,,3/1/2022,3,-0.29,,,,3/1/2022,162.997498,-0.237525094
,4/1/2022,37714.875,-0.15703524,,,,4/1/2022,124.281502,-0.032764321,,,,4/1/2022,206.880005,-0.002513554,,,,4/1/2022,35.619999,0.137001716,,,,4/1/2022,2.13,-0.38028169,,,,4/1/2022,124.281502,-0.032764321
,5/1/2022,31792.31055,-0.367645097,,,,5/1/2022,120.209503,-0.093915246,,,,5/1/2022,206.360001,-0.078019025,,,,5/1/2022,40.5,-0.205432099,,,,5/1/2022,1.32,0.075757576,,,,5/1/2022,120.209503,-0.093915246
,6/1/2022,20104.02344,,,,,6/1/2022,108.919998,,,,,6/1/2022,190.259995,,,,,6/1/2022,32.18,,,,,6/1/2022,1.42,,,,,6/1/2022,108.919998,
